listing_id,description,room_type,price,nbhood_full,host_name,last_review,month,price_per_month
21012649,Spacious East Village 1 BR on 14th St!,entire home/apt,196,"Manhattan, Gramercy",Mike,2019-06-18,6,5978.0
21013416,Family room #5,private room,80,"Brooklyn, Greenpoint",Angie,2019-05-04,5,2440.0
21013499,Prime Location of Flushing Queens 豪华卧室 旅途中的家 C,private room,55,"Queens, Flushing",Max,2019-03-25,3,1677.5
21014105,NICE 1 BEDROOM 25 MIN TO MANHATTAN,entire home/apt,88,"Queens, Forest Hills",David,2019-01-01,1,2684.0
21015032,Spacious 1 Bedroom Home in the Heart of Manhattan,entire home/apt,215,"Manhattan, Hell's Kitchen",Jewell,2019-06-17,6,6557.5
21015347,Brooklyn 3Bed 1Bath 8minute Subway 30 to Manhattan,entire home/apt,300,"Brooklyn, East New York",Shawn,2019-06-23,6,9150.0
21016498,Newly Renovated Apartment,entire home/apt,180,"Brooklyn, Bedford-Stuyvesant",Harvin,2019-06-30,6,5490.0
21020862,"Elegant Private Room,  Bath & Patio Next to Subway",private room,60,"Bronx, Williamsbridge",Nazeer,2019-06-21,6,1830.0
21021957,2BED 2 BATH LINCOLN CENTER / RIVER VIEW,entire home/apt,280,"Manhattan, Upper West Side",Emily,2019-06-02,6,8540.0
21022856,"Your Home in NYC, 3 bdrm, 2 bath, 5 min to metro!!",entire home/apt,135,"Brooklyn, Bedford-Stuyvesant",Joe & Jay,2019-07-05,7,4117.5
21023888,Almost a Hotel Room // Cozy Private Room,private room,50,"Brooklyn, Bushwick",Laurel,2019-06-23,6,1525.0
21025488,Beautiful Garden Apartment with Patio & BBQ Grill,entire home/apt,130,"Queens, Ozone Park",Adesh & Viviana,2019-06-09,6,3965.0
21026272,Douglaston (apt2) Room 2,private room,45,"Queens, Douglaston",Leonard,2019-06-06,6,1372.5
21026558,One private room in a brand new 2BR Penthouse!,private room,250,"Manhattan, Upper West Side",Andrey,2019-05-05,5,7625.0
21027182,Private ROOM & BATH (City Central) Time Square NYC,private room,155,"Manhattan, Hell's Kitchen",Bryan,2019-06-02,6,4727.5
21027809,Sunny 2 br apartment in Prospect Lefferts Gardens,entire home/apt,100,"Brooklyn, Prospect-Lefferts Gardens",Lory And Cindy,2019-07-07,7,3050.0
21027995,Spacious Private room 10 minutes to Manhattan,private room,76,"Brooklyn, Williamsburg",Maxim,2019-06-24,6,2318.0
21028192,Spacious 2-bed Apt. Quiet w/garden.Family friendly,entire home/apt,240,"Brooklyn, Crown Heights",Vegard,2019-06-23,6,7320.0
21029678,Guest room in Greenpoint,private room,65,"Brooklyn, Greenpoint",Andre,2019-05-18,5,1982.5
21035506,Cosy private room in the middle of Manhattan!,private room,92,"Manhattan, Hell's Kitchen",Carly,2019-06-30,6,2806.0
21038471,"Sunny, spacious room in Bedstuy",private room,58,"Brooklyn, Bedford-Stuyvesant",Tiffany,2019-06-20,6,1769.0
21038881,Downtown warmth and charm,entire home/apt,250,"Manhattan, Nolita",Jesper,2019-06-21,6,7625.0
21041595,HOME AWAY FROM HOME,private room,100,"Brooklyn, Brownsville",Fred,2019-07-01,7,3050.0
21042120,"Spacious bedroom, minutes to Manhattan!",private room,76,"Queens, Long Island City",Jacquelin And,2019-06-23,6,2318.0
21042151,STAY HERE! Nice&Quite 1BD in Financial District!,entire home/apt,150,"Manhattan, Financial District",Andrey,2019-06-22,6,4575.0
21042534,"Light, spacious apartment in trendy neighborhood",entire home/apt,100,"Brooklyn, Crown Heights",Kathy,2019-04-21,4,3050.0
21044322,"Windsor Terrace spacious, lovely 1 Bedroom",entire home/apt,120,"Brooklyn, Windsor Terrace",Andrea,2019-04-09,4,3660.0
21044649,One Bedroom Bronx Bohemian style living space,private room,42,"Bronx, Norwood",Tanya,2019-05-13,5,1281.0
21044970,Best location in Williamsburg! Spacious and quite.,entire home/apt,349,"Brooklyn, Williamsburg",Luigi,2019-02-24,2,10644.5
21045451,Sunny and cozy spacious bedroom w/ queen sized bed,private room,70,"Brooklyn, Brownsville",Whitney,2019-05-05,5,2135.0
21047121,Murray Hill House,entire home/apt,1177,"Manhattan, Murray Hill",Ekaterina,2019-06-04,6,35898.5
21053044,RESIDENCE NEAR JFK (TB3),private room,33,"Queens, Jamaica",Janelle,2019-06-25,6,1006.5
21053432,Cozy room in spacious and sunny apartment,private room,38,"Queens, Ridgewood",Angela,2019-05-31,5,1159.0
21054012,Ashes Cove,entire home/apt,200,"Queens, Springfield Gardens",Aston,2019-06-02,6,6100.0
21054217,Lavish 3 bedroom near Penn Station / MSG,entire home/apt,790,"Manhattan, Chelsea",Michael,2019-07-01,7,24095.0
21055192,"Clean, Comfortable, Sunny Room 5 Min from LGA",private room,90,"Queens, Ditmars Steinway",Lisa,2019-06-03,6,2745.0
21056487,"** SoHo: Clean, Safe, Private, Quiet Bedroom (B)**",private room,99,"Manhattan, SoHo",Janet,2019-02-07,2,3019.5
21056510,G1 Newly Renovated Long Island City Room,private room,55,"Queens, Long Island City",Leo,2019-06-06,6,1677.5
21056653,G2Newly Renovated Long Island City Room,private room,55,"Queens, Long Island City",Leo,2019-06-22,6,1677.5
21056691,G3Newly Renovated Long Island City Room,private room,58,"Queens, Long Island City",Leo,2019-06-23,6,1769.0
21057693,Sunny and cozy  apartment with a beautiful terrace,entire home/apt,97,"Brooklyn, Bedford-Stuyvesant",Alex,2019-01-03,1,2958.5
21058648,Prime Location of Flushing Queens 豪华卧室 旅途中的家 D,private room,60,"Queens, Flushing",Max,2019-05-30,5,1830.0
21062611,Great location bay ridge off shore road,entire home/apt,99,"Brooklyn, Fort Hamilton",Ahmed,2019-06-23,6,3019.5
21064623,Gorgeous Alcove Studio,entire home/apt,160,"Manhattan, Hell's Kitchen",Neda,2019-01-05,1,4880.0
21065293,(=CUTE ROOM IN HELL'S KITCHEN=),private room,86,"Manhattan, Hell's Kitchen",Maria,2019-06-27,6,2623.0
21067165,Gorgeous Brownstone - 3 blocks from subway!,entire home/apt,185,"Brooklyn, Bedford-Stuyvesant",Hadas,2019-06-30,6,5642.5
21067451,Hell's Kitchen/ Times Square,private room,210,"Manhattan, Hell's Kitchen",Mark,2019-02-10,2,6405.0
21068818,Amazing Studio at the Time Square Area/53B,entire home/apt,130,"Manhattan, Hell's Kitchen",Irina,2019-01-30,1,3965.0
21076625,Harlem Room With A View,private room,65,"Manhattan, Harlem",Vigil,2019-06-20,6,1982.5
21079505,***Come Stay in Comfort while you Experience NYC**,private room,55,"Manhattan, Washington Heights",Nelson Antonio,2019-06-23,6,1677.5
21079975,South Park Slope 1BR Apt with Shared Yard,entire home/apt,94,"Brooklyn, Sunset Park",James,2019-06-23,6,2867.0
21080763,"CHIC 2 BEDROOM W/ LUXURY FINISHES, WASHER DRYER",entire home/apt,185,"Manhattan, Kips Bay",Corporate Housing,2019-03-31,3,5642.5
21081485,Spotless Private Room near Airport and Subway!,private room,49,"Queens, Corona",Lucy & Rodo,2019-06-22,6,1494.5
21081736,Comfy Cozy,entire home/apt,139,"Brooklyn, Canarsie",Dawn,2019-07-01,7,4239.5
21088999,"SOHO / GREENWICH VILLAGE
Prime location- 1 Bedroom",entire home/apt,150,"Manhattan, Greenwich Village",Zachary,2019-04-15,4,4575.0
21089520,Closest to Home,entire home/apt,100,"Brooklyn, Bedford-Stuyvesant",Shelliann,2019-07-04,7,3050.0
21090094,"Private and Cozy Studio  Pelham Gardens - Bx, NY.",entire home/apt,40,"Bronx, Pelham Gardens",Mariana,2019-05-01,5,1220.0
21091355,Comfortable and lovely furnished studio apartment,entire home/apt,80,"Manhattan, Upper East Side",Bridge,2019-02-07,2,2440.0
21094476,"Large, Charming & Sunny 2 Bedroom in Brooklyn!",entire home/apt,150,"Brooklyn, Crown Heights",Chris,2019-06-05,6,4575.0
21094894,Luxury Apartment Central Park - Hell’s Kitchen,entire home/apt,273,"Manhattan, Hell's Kitchen",Kadu,2019-06-09,6,8326.5
21095257,Soho | Greenwich Village 1 Bedroom,entire home/apt,225,"Manhattan, SoHo",Dawn,2019-07-06,7,6862.5
21095775,Trendy & Bright Dumbo 1 Bed,entire home/apt,135,"Brooklyn, Downtown Brooklyn",Joe,2019-05-10,5,4117.5
21097166,Beautiful Brooklyn Brownstone in Boerum Hill,entire home/apt,125,"Brooklyn, Boerum Hill",Anne,2019-07-06,7,3812.5
21098719,Great Studio!,entire home/apt,70,"Manhattan, Harlem",Keziah,2019-05-06,5,2135.0
21098848,Sunny 1 bedroom suite in midtown Manhattan,entire home/apt,175,"Manhattan, Murray Hill",Stanley,2019-02-01,2,5337.5
21104475,Near LGA cozy room.,private room,45,"Queens, East Elmhurst",James &,2019-06-20,6,1372.5
21104699,Cozy Blue Room,private room,50,"Queens, Ridgewood",Lane,2019-06-01,6,1525.0
